Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time,__filename,method,eval,pearson
0.0,67.2,0.2833,1.8757,0.5133,0.5922,2.2589,0.93,1.1722,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.1_pearson_0.9.csv,DAMC,0.1,0.9
0.0,129.4,0.2822,1.6289,0.5116,0.5922,2.2589,0.8983,1.0241,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.1.csv,DAMC,0.3,0.1
0.0,65.2,0.2794,1.6575,0.5092,0.5922,2.2589,0.8345,1.0731,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.2.csv,DAMC,0.3,0.2
0.0,96.6,0.2858,1.9319,0.5175,0.5922,2.2589,0.8465,1.03,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.3.csv,DAMC,0.3,0.3
0.0,84.0,0.2854,2.1783,0.5146,0.5922,2.2589,0.8776,1.0818,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.4.csv,DAMC,0.3,0.4
0.0,75.0,0.2815,1.8644,0.5105,0.5922,2.2589,1.1514,1.3701,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.5.csv,DAMC,0.3,0.5
0.0,108.0,0.2845,2.1239,0.5146,0.5922,2.2589,1.0154,1.1773,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.6.csv,DAMC,0.3,0.6
0.0,68.4,0.2851,2.3264,0.5141,0.5922,2.2589,1.217,1.546,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.7.csv,DAMC,0.3,0.7
0.0,65.0,0.285,2.0703,0.5146,0.5922,2.2589,1.1791,1.4848,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.8.csv,DAMC,0.3,0.8
0.0,80.4,0.2817,1.9075,0.5102,0.5922,2.2589,1.5423,1.8168,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.3_pearson_0.9.csv,DAMC,0.3,0.9
0.0,104.8,0.2824,1.8672,0.5132,0.5922,2.2589,0.7935,0.9542,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.1.csv,DAMC,0.5,0.1
0.0,50.8,0.2893,2.0798,0.5198,0.5922,2.2589,0.7451,0.9946,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.2.csv,DAMC,0.5,0.2
0.0,110.2,0.2809,1.7672,0.5101,0.5922,2.2589,0.8318,0.9814,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.3.csv,DAMC,0.5,0.3
0.0,58.6,0.2876,1.9715,0.5201,0.5922,2.2589,0.8645,1.103,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.4.csv,DAMC,0.5,0.4
0.0,55.0,0.2899,1.9571,0.5206,0.5922,2.2589,0.9029,1.1465,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.5.csv,DAMC,0.5,0.5
0.0,78.4,0.2835,1.6751,0.5175,0.5922,2.2589,1.0109,1.2137,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.6.csv,DAMC,0.5,0.6
0.0,127.0,0.2849,2.0873,0.5144,0.5922,2.2589,1.0175,1.1385,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.7.csv,DAMC,0.5,0.7
0.0,43.8,0.2816,1.8367,0.5116,0.5922,2.2589,0.9834,1.2442,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.8.csv,DAMC,0.5,0.8
0.0,80.6,0.2828,1.7165,0.5126,0.5922,2.2589,1.0428,1.2421,pearson_ICU_10_SAGE++DAMC_incre_alone_window_4_epoch_200_eval_0.5_pearson_0.9.csv,DAMC,0.5,0.9
