source_file,Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,11,29.0,0.3388,3.9032,0.3366,0.5922,2.2589,0.0283,0.1842
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,0,108.0,0.5115,4.209,0.4259,0.5922,2.2589,0.9671,1.7772
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,1,171.0,0.4233,3.5769,0.3714,0.5922,2.2589,1.5403,1.7961
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,2,88.0,0.3545,2.3019,0.33299999999999996,0.5922,2.2589,0.7906,1.7841
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,3,141.0,0.3412,3.2547,0.324,0.5922,2.2589,1.276,1.8025
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,4,33.0,0.3646,3.3652,0.3362,0.5922,2.2589,0.3066,1.7879
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,5,41.0,0.3552,3.6539,0.3275,0.5922,2.2589,0.3806,1.7793
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,6,49.0,0.3421,0.9806,0.3173,0.5922,2.2589,0.4528,1.7919999999999998
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,7,31.0,0.349,2.4473,0.3212,0.5922,2.2589,0.2985,1.7857
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,8,32.0,0.3641,2.9243,0.3273,0.5922,2.2589,0.3085,1.7767
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,9,41.0,0.3663,2.4165,0.32799999999999996,0.5922,2.2589,0.3883,1.7943
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,10,36.0,0.3707,2.7357,0.3276,0.5922,2.2589,0.3432,1.8019999999999998
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,11,39.0,0.3873,2.2033,0.3365,0.5922,2.2589,0.3671,1.8084
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,0,168.0,0.4809,6.2912,0.4294,0.5922,2.2589,15.9744,18.8229
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,1,102.0,0.366,2.5810000000000004,0.3604,0.5922,2.2589,9.9762,18.9063
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,2,158.0,0.3362,3.7594,0.3429,0.5922,2.2589,15.1832,19.0615
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,3,33.0,0.3241,3.2035,0.3328,0.5922,2.2589,3.4183,18.8443
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,4,33.0,0.319,3.1060000000000003,0.3278,0.5922,2.2589,3.5233,18.8809
